Durham,1890,1
Southampton,1895,2
Bradford,1911,3
Oxford,1929,4
Sheffield,1929,5
Stornoway,1929,6
Armagh,1929,7
Valley,1930,8
Lerwick,1930,9
Tiree,1930,10
Ross_On_Wye,1930,11
Lowestoft,1931,12
Nairn,1931,13
WickAirport,1945,14
Waddington,1949,15
Eskdalemuir,1954,16
Shawbury,1957,17
Leuchars,1957,18
Aberporth,1957,19
Heathrow,1957,20
Eastbourne,1959,21
Paisley,1959,22
Cambridge,1961,23
Cwmystwyth,1961,24
Newton_Rigg,1961,25
Sutton_Bonington,1961,26
Ringway,1961,27
Braemar,1961,28
Hurn,1968,29
Manston,1973,30
Whitby,1976,31
Cardiff,1977,32
Camborne,1979,33
Dunstaffnage,1981,34
Yeovilton,1983,35
Chivenor,2018,36
Ballypatrick_Forest,2018,37
