Paisley,2017,99.9
Heathrow,1970,99.7
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2018,Provisional
WickAirport,2019,Provisional
WickAirport,2019,Provisional
WickAirport,2019,Provisional
Yeovilton,2018,99.1
Cwmystwyth,1985,99.0
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2018,Provisional
Cambridge,2019,Provisional
Cambridge,2019,Provisional
Cambridge,2019,Provisional
Aberporth,1976,99.2
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2018,Provisional
Braemar,2019,Provisional
Braemar,2019,Provisional
Braemar,2019,Provisional
Camborne,2003,99.2
Camborne,2005,99.2
