Stornoway,1930,99.9
Whitby,1977,99.9$
Ringway,1967,99.6
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2018,Provisional
Sutton_Bonington,2019,Provisional
Sutton_Bonington,2019,Provisional
Sutton_Bonington,2019,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2018,Provisional
Dunstaffnage,2019,Provisional
Dunstaffnage,2019,Provisional
Dunstaffnage,2019,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2018,Provisional
Ballypatrick_Forest,2019,Provisional
Ballypatrick_Forest,2019,Provisional
Ballypatrick_Forest,2019,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2018,Provisional
Newton_Rigg,2019,Provisional
Newton_Rigg,2019,Provisional
Newton_Rigg,2019,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2018,Provisional
Cardiff,2019,Provisional
Cardiff,2019,Provisional
Cardiff,2019,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2018,Provisional
Chivenor,2019,Provisional
Chivenor,2019,Provisional
Chivenor,2019,Provisional
